Sl. No.,State/UT,Total Number Of Sales,No. of charging Stations
1,Jammu Kashmir,437,25
2,Himachal Pradesh,241,10
3,Punjab,764,0
4,Chandigarh,48,70
5,Uttarakhand,1057,10
6,Haryana,1477,50
7,Delhi,6413,72
8,Rajasthan,6721,205
9,Uttar Pradesh,6022,207
10,Bihar,2615,37
11,Sikkim,0,29
12,Arunachal Pradesh,0,0
13,Nagaland,0,0
14,Manipur,78,0
15,Mizoram,0,0
16,Tripura,538,0
17,Meghalaya,6,40
18,Assam,407,20
19,West Bengal,771,141
20,Jharkhand,817,0
21,Odisha,1671,18
22,Chhattisgarh,2055,25
23,Madhya Pradesh,2953,235
24,Gujarat,1554,278
25,Maharashtra,9393,317
26,Andhra Pradesh,3325,266
27,Karnataka,19270,172
28,Goa,241,0
29,Lakshadweep,4,0
30,Kerala,2068,211
31,Tamilnadu,13515,281
32,Puducherry,138,10
33,Andaman and Nicobar Islands,2,10
34,Telangana,3031,138
35,Ladakh,0,0
36,The Dadra and Nagar Haveli and Daman and Diu,27,0
